category,notice,notice_code,publish_date,title
Corporate Insolvency,"Notification of written resolutions of the above-named Company proposed by the directors and having effect as a special resolution and as an ordinary resolution respectively pursuant to the provisions of Part 13 of the Companies Act 2006. Circulation Date: 19 February 2024 Effective Date: I, the undersigned, being a director of the Company hereby certify that the following written resolutions were circulated to all eligible members of the Company on the Circulation Date and that the written resolutions were passed on the Effective Date: “That the Company be wound up voluntarily and that Neil Frank Vinnicombe and Simon Robert Haskew both of Begbies Traynor (Central) LLP of 11c Kingsmead Square, Bath, BA1 2AB be and are hereby appointed as joint liquidators for the purposes of such winding up and that any power conferred on them by law or by this resolution, may be exercised and any act required or authorised under any enactment to be done by them, may be done by them jointly or by each of them alone.” (IP Number: ) and (IP Number: ).",4570041,"5 March 2024, 12:50",Resolutions for Winding-up
Personal Insolvency,"(Partnership Member Bankruptcy Estate Of MICHAEL JULIAN FEAR) (our ref: BKT00040707) Please quote all of the above in any correspondence with the Insolvency Service Partnership Member Bankruptcy Estate Order Date: 12/05/1998 Bankruptcy Status: Formerly in Bankruptcy Date of Birth: Residential address at date of Bankruptcy Order: 23 Birdwell Road, Long Ashton, Bristol BS41 9BA Occupation at date of Bankruptcy Order: Florist Trading Name: (a) ""KIMBERLEY'S FLOWER SHOP"", and (b) ""STANCOMBE NURSERY"" Principal trading address: (a) 121 Station Road, Nailsea, Bristol, and (b) Stancombe Lane, Flax Bourton, Bristol Nature of Business: (a) Flower Shop, and (b) Plant Nursery Notice is hereby given, pursuant to Rule 14.28 of the Insolvency (England and Wales) Rules 2016, that I, S Baxter, Official Receiver and Trustee of MICHAEL JULIAN FEAR, intend to declare a First & Final dividend of 90.70p/£ regarding the Partnership Member (personal) unsecured claims admitted for distribution/dividend purposes in the above referenced Partnership Member Bankruptcy Estate, within a period of two months from 03/04/2024. Unsecured Partnership Member creditors intending to have their claims taken into consideration in the above referenced dividend process must submit their formal claims to me by the above stated last date for proving at the address stated below, failing which they will be excluded from the dividend. A blank proof of debt form for completion and submission as a formal claim is obtainable from the Insolvency Service website: https://www.gov.uk/government/publications/rule-144-proof-of-debt-general-form and clicking on either the PDF or ODT shortcuts to a ‘Rule 14.4 Proof Of Debt (General Form)’ listed. Alternatively, a blank proof of debt form is obtainable upon request by contacting my office at the address stated below. NOTE: the above named individuals and/or partnership may no longer have a connection with the above mentioned address.",4570067,"5 March 2024, 12:40",Notice of Dividends
Personal Insolvency,"(Partnership Member Bankruptcy Estate Of KIMBERLEY JANE FEAR) (our ref: BKT00043554) Please quote all of the above in any correspondence with the Insolvency Service Partnership Member Bankruptcy Estate Order Date: 12/05/1998 Bankruptcy Status: Formerly in Bankruptcy Date of Birth: Residential address at date of Bankruptcy Order: 23 Birdwell Road, Long Ashton, Bristol BS41 9BA Occupation at date of Bankruptcy Order: Florist Trading Name: (a) ""KIMBERLEY'S FLOWER SHOP"", and (b) ""STANCOMBE NURSERY"" Principal trading address: (a) 121 Station Road, Nailsea, Bristol, and (b) Stancombe Lane, Flax Bourton, Bristol Nature of Business: (a) Flower Shop, and (b) Plant Nursery Notice is hereby given, pursuant to Rule 14.28 of the Insolvency (England and Wales) Rules 2016, that I, S Baxter, Official Receiver and Trustee of KIMBERLEY JANE FEAR, intend to declare a First & Final dividend of 2.85p/£ regarding the Partnership Member (personal) unsecured claims admitted for distribution/dividend purposes in the above referenced Partnership Member Bankruptcy Estate, within a period of two months from 03/04/2024. Unsecured Partnership Member creditors intending to have their claims taken into consideration in the above referenced dividend process must submit their formal claims to me by the above stated last date for proving at the address stated below, failing which they will be excluded from the dividend. A blank proof of debt form for completion and submission as a formal claim is obtainable from the Insolvency Service website: https://www.gov.uk/government/publications/rule-144-proof-of-debt-general-form and clicking on either the PDF or ODT shortcuts to a ‘Rule 14.4 Proof Of Debt (General Form)’ listed. Alternatively, a blank proof of debt form is obtainable upon request by contacting my office at the address stated below. NOTE: the above named individuals and/or partnership may no longer have a connection with the above mentioned address.",4570069,"5 March 2024, 12:40",Notice of Dividends
Personal Insolvency,"Notice is hereby given, pursuant to of the , that I intend to declare a Dividend to Unsecured Creditors. The final date for receiving proofs of debt is . Proofs of debt should be delivered to the Official Receiver at the address below. Proofs of debt received after will be excluded from the dividend.",4570065,"5 March 2024, 12:40",Notice of Intended Dividends
Partnerships,"Notice is hereby given, pursuant to section 10 of the Limited Partnerships Act 1907, as amended (the “Act”), that Greensphere Capital LLP has assigned to Gaia Sciences Innovation GP Limited its share in Gaia Sciences Innovation L.P., a limited partnership formed under English law and that Act with registration number LP023553.",4570068,"5 March 2024, 12:40",Statement by General Partner
Personal Insolvency,"Notice is hereby given, pursuant to of the , that I intend to declare a Final Dividend to Unsecured Creditors. The final date for receiving proofs of debt is . Proofs of debt should be delivered to the Official Receiver at the address below. Proofs of debt received after will be excluded from the dividend.",4570066,"5 March 2024, 12:40",Notice of Intended Dividends
Personal Insolvency,"Notice is hereby given, pursuant to of the , that I intend to declare a First and Final Dividend to Unsecured Creditors. The final date for receiving proofs of debt is . Proofs of debt should be delivered to the Official Receiver at the address below. Proofs of debt received after will be excluded from the dividend.",4570064,"5 March 2024, 12:40",Notice of Intended Dividends
Corporate Insolvency,"A Petition to wind up the above-named company (registered no 01833985) whose registered office address is presented on by of (the Petitioner) claiming to be a creditor of the company, will be heard at Date: Wednesday Time: hours (or as soon thereafter as the petition can be heard) Any person intending to appear on the hearing of the petition (whether to support or oppose it) must give notice of that intention in accordance with rule 7.14 of the Insolvency (England and Wales) Rules 2016 by 16:00 hours on Tuesday .",4570027,"5 March 2024, 12:10",Petitions to Wind Up (Companies)
Partnerships,"Notice is hereby given, in accordance with Section 10 of the Limited Partnerships Act 1907, that HgCapital Initial GP Limited (the “Initial GP”) ceased to be general partner in Neon Co-Invest L.P. (previously known as 2024 C Co-Invest L.P.), a private fund limited partnership registered in England and Wales with registration number LP023530 (the “Partnership”) with effect from 22 February 2024 by virtue of a transfer by the Initial GP of its entire interest in the Partnership to Hg Saturn 3 General Partner (Guernsey) Limited.",4570072,"5 March 2024, 12:40",Statement by General Partner
Partnerships,"Notice is hereby given, in accordance with Section 10 of the Limited Partnerships Act 1907, that HgCapital Initial GP Limited (the “Initial GP”) ceased to be general partner in OS1 Co-Invest L.P. (previously known as 2024 B Co-Invest L.P.), a private fund limited partnership registered in England and Wales with registration number LP023529 (the “Partnership”) with effect from 22 February 2024 by virtue of a transfer by the Initial GP of its entire interest in the Partnership to Hg Mercury 4 General Partner (Guernsey) Limited.",4570070,"5 March 2024, 12:40",Statement by General Partner
Corporate Insolvency,"Passed The members of the above company have duly passed the following WRITTEN RESOLUTIONS: a SPECIAL RESOLUTION ""That the company be wound up voluntarily."" and an ORDINARY RESOLUTION ""That (IP No. ) of , be and is hereby nominated liquidator of the company for the purposes of the winding up."" Further details contact: Telephone: Email:",4570032,"5 March 2024, 12:10",Resolutions for Winding-up
Corporate Insolvency,"This Notice is given under of the (“the Rules”). It is delivered by the Joint Liquidator of the Company and the convener of the meeting, Hemal Mistry, of Horsfields, Belgrave Place, 8 Manchester Road, Bury, Lancashire, BL9 0ED. A meeting of creditors is to take place for the purposes of considering the following: 1. The establishing of a Liquidation Committee 2. The approval of the Joint Liquidators’ fees and expenses The meeting will be held as follows: Time: 11:00 am Date: To access the , which will be held via a telephone conferencing platform, contact the convener – details below. This virtual meeting will be recorded in order to establish and maintain records of the existence of relevant facts or decisions that are taken at the meeting. By attending this meeting, you consent to being recorded. Where any recording of the meeting also entails the processing of personal data, such personal data shall be treated in accordance with the Data Protection Act 2018. To be entitled to vote, those attending must submit a proxy form, together with a proof of debt if one has not already been submitted, to the Joint Liquidator by one of the following methods: By post to: , By fax to: 0161 763 1283 By email to: All proofs of debt must be delivered by: 4pm on All proxy forms must be delivered to the convener or chair before they may be used at the meeting fixed for 11.00 am on 25 March 2024. Names of : & Address of Joint Liquidators: , IP Numbers: & Date of Appointment: Appointed By: the Secretary of State Contact Name: Email Address: Telephone Number:",4570028,"5 March 2024, 12:10",Meetings of Creditors
Corporate Insolvency,,4570035,"5 March 2024, 12:10",Appointment of Liquidators
Personal Legal,"Notice is hereby given that a Deed Poll dated and enrolled in the Senior Courts of England and Wales on , I, Single and a British Citizen under of the abandoned the name of Alicia Kate Smurthwaite-Lunn and assumed the name of Alicia Kate Coe.",4567915,"5 March 2024, 12:40",Changes of Name
Corporate Insolvency,,4570034,"5 March 2024, 12:10",Appointment of Liquidators
Personal Legal,,4569808,,Deceased Estates
Corporate Insolvency,,4570037,,Petitions to Wind Up (Companies)
Partnerships,"Notice is hereby given, pursuant to Section 10 of the Limited Partnerships Act 1907, that IMWS (Nominees) Limited A/C LNSTAX has transferred their entire interest in Access Co-Investment Fund Buy-out Europe LP, a limited partnership registered in Scotland with number SL013340 (the “ ”) to Schroder & Co Nominees Limited. IMWS (Nominees) Limited A/C LNSTAX has ceased to be a limited partner of the Partnership. Schroder & Co Nominees Limited has been admitted as a limited partner of the Partnership. MIS Nominees (Luxembourg) S.A.R.L. A/C LNS Offshore has transferred their entire interest in the Partnership to Schroder & Co Nominees Limited and Schroder & Co Bank AG. MIS Nominees (Luxembourg) S.A.R.L. A/C LNS Offshore has ceased to be a limited partner of the Partnership. Schroder & Co Nominees Limited and Schroder & Co Bank AG have each been admitted as a limited partner of the Partnership.",4567995,"5 March 2024, 12:30",Statement by General Partner
Personal Legal,,4570219,,Deceased Estates
Personal Legal,,4569784,,Deceased Estates
Personal Legal,,4570117,,Deceased Estates
Personal Insolvency,,4570136,,Notice of Intended Dividend
Corporate Insolvency,,4569488,"5 March 2024, 10:10",Appointment of Liquidators
Personal Legal,"Notice is hereby given that a Deed Poll dated and enrolled in the Senior Courts of England and Wales on , I, Single and a British Citizen under of the abandoned the name of Jack Weir and assumed the name of Jack Spencer Shoesmith.",4567923,"5 March 2024, 12:00",Changes of Name
Personal Legal,,4570116,,Deceased Estates
Corporate Insolvency,"Notice is given that by written resolutions, the members of the company passed a special resolution that the company be wound up voluntarily, and an ordinary resolution appointing the Liquidator for the purposes of the winding-up. The requisite voting majority was received on 28th February 2024 Oksana Ose, Director.",4569496,"5 March 2024, 10:10",Resolutions for Winding-up
Personal Legal,,4569411,,Deceased Estates
Corporate Insolvency,,4569495,"5 March 2024, 10:10",Appointment of Liquidators
Corporate Insolvency,,4569498,"5 March 2024, 10:10",Appointment of Liquidators
